USER       PID    PPID   LWP    NLWP   %CPU  %MEM  VSZ    RSS    TTY    STAT   START  TIME   COMMAND
root       107    2      107    1      0.0   0.0   0      0      ?      S      07:17  0:00    [khungtaskd]
root       108    2      108    1      0.0   0.0   0      0      ?      S      07:17  0:00    [oom_reaper]
root       111    2      111    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-writeback]
root       112    2      112    1      0.0   0.0   0      0      ?      S      07:17  0:00    [kcompactd0]
root       113    2      113    1      0.0   0.0   0      0      ?      SN     07:17  0:00    [ksmd]
root       114    2      114    1      0.0   0.0   0      0      ?      SN     07:17  0:00    [khugepaged]
root       115    2      115    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-kintegrityd]
root       116    2      116    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-kblockd]
root       117    2      117    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-blkcg_punt_bio]
root       118    2      118    1      0.0   0.0   0      0      ?      S      07:17  0:01    [irq/9-acpi]
root       121    2      121    1      0.1   0.0   0      0      ?      I      07:17  0:40    [kworker/u56:1-i915]
root       122    2      122    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-tpm_dev_wq]
root       123    2      123    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-ata_sff]
root       124    2      124    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-md]
root       125    2      125    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-md_bitmap]
root       126    2      126    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-edac-poller]
root       128    2      128    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-devfreq_wq]
root       130    2      130    1      0.0   0.0   0      0      ?      S      07:17  0:00    [watchdogd]
root       133    2      133    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/4:1H-i915_cleanup]
root       136    2      136    1      0.0   0.0   0      0      ?      S      07:17  0:00    [kswapd0]
root       137    2      137    1      0.0   0.0   0      0      ?      S      07:17  0:00    [ecryptfs-kthread]
root       138    2      138    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-kthrotld]
root       139    2      139    1      0.0   0.0   0      0      ?      S      07:17  0:00    [irq/123-pciehp]
root       141    2      141    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-acpi_thermal_pm]
root       144    2      144    1      0.0   0.0   0      0      ?      I      07:17  0:00    [kworker/12:1-mm_percpu_wq]
root       145    2      145    1      0.0   0.0   0      0      ?      S      07:17  0:00    [hwrng]
root       146    2      146    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-hfi-updates]
root       148    2      148    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-mld]
root       149    2      149    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-ipv6_addrconf]
root       150    2      150    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/0:1H-i915_cleanup]
root       159    2      159    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-kstrp]
root       161    2      161    1      0.0   0.0   0      0      ?      I      07:17  0:01    [kworker/8:1-pm]
root       163    2      163    1      0.0   0.0   0      0      ?      I      07:17  0:16    [kworker/13:1-events]
root       166    2      166    1      0.0   0.0   0      0      ?      I<     07:17  0:18    [kworker/u59:0-hci0]
root       183    2      183    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-charger_manager]
root       208    2      208    1      0.0   0.0   0      0      ?      I<     07:17  0:01    [kworker/11:1H-events_highpri]
root       212    2      212    1      0.0   0.0   0      0      ?      I<     07:17  0:01    [kworker/10:1H-i915_cleanup]
root       213    2      213    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/1:1H-i915_cleanup]
root       235    2      235    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/8:1H-kblockd]
root       253    2      253    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/2:1H-i915_cleanup]
root       255    2      255    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/3:1H-kblockd]
root       256    2      256    1      0.0   0.0   0      0      ?      I<     07:17  0:02    [kworker/9:1H-i915_cleanup]
root       257    2      257    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/5:1H-kblockd]
root       258    2      258    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/7:1H-kblockd]
root       259    2      259    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/6:1H-kblockd]
root       294    2      294    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-nvme-wq]
root       295    2      295    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-nvme-reset-wq]
root       296    2      296    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-nvme-delete-wq]
root       297    2      297    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-nvme-auth-wq]
root       298    2      298    1      0.0   0.0   0      0      ?      S      07:17  0:17    [irq/158-ELAN07ED:00]
root       299    2      299    1      0.0   0.0   0      0      ?      S      07:17  0:00    [irq/159-ELAN2514:00]
root       305    2      305    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-USBC000:00-con1]
root       308    2      308    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-USBC000:00-con2]
root       309    2      309    1      0.0   0.0   0      0      ?      I      07:17  0:01    [kworker/7:2-events]
root       347    2      347    1      0.0   0.0   0      0      ?      S      07:17  0:00    [jbd2/nvme0n1p9-8]
root       348    2      348    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-ext4-rsv-conversion]
root       403    1      403    1      0.0   0.1   67704  20048  ?      S<s    07:17  0:01    /usr/lib/systemd/systemd-journald
root       457    1      457    1      0.0   0.0   30728  8892   ?      Ss     07:17  0:01    /usr/lib/systemd/systemd-udevd
root       494    2      494    1      0.0   0.0   0      0      ?      S      07:17  0:00    [psimon]
root       557    2      557    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/13:1H-events_highpri]
root       558    2      558    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/12:1H-kblockd]
root       562    2      562    1      0.0   0.0   0      0      ?      I      07:17  0:00    [kworker/u58:2-kvfree_rcu_reclaim]
root       661    2      661    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-cfg80211]
root       705    2      705    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-cryptd]
root       712    2      712    1      0.0   0.0   0      0      ?      S      07:17  0:07    [irq/180-iwlwifi:default_queue]
root       713    2      713    1      0.0   0.0   0      0      ?      S      07:17  0:01    [irq/183-iwlwifi:queue_1]
root       714    2      714    1      0.0   0.0   0      0      ?      S      07:17  0:03    [irq/184-iwlwifi:queue_2]
root       715    2      715    1      0.0   0.0   0      0      ?      S      07:17  0:01    [irq/187-iwlwifi:queue_3]
root       716    2      716    1      0.0   0.0   0      0      ?      S      07:17  0:03    [irq/188-iwlwifi:queue_4]
root       717    2      717    1      0.0   0.0   0      0      ?      S      07:17  0:01    [irq/189-iwlwifi:queue_5]
root       718    2      718    1      0.0   0.0   0      0      ?      S      07:17  0:01    [irq/190-iwlwifi:queue_6]
